"","xc","yc","V3"
"1",87.4312528011971,26.8699351095205,4411.04112153741
"2",87.300225493682,26.9655282836112,5700.63049330272
"3",87.3572386620414,26.9432393875343,4680.40965371357
"4",87.4587766943596,26.9187933725263,2697.03847167718
"5",87.4202575345571,26.9578924159334,6706.52364350627
"6",87.4586932171857,26.9223975459093,4192.83831397732
"7",87.3581164980439,26.9389258957624,2609.44106627303
"8",87.2559889538153,27.0047163102523,7781.39627380123
"9",87.3573407486643,27.0072806528574,10681.9670815143
"10",87.3052281349645,26.8871432413539,10360.0141119807
"11",83.8201693468666,28.2032175358887,1116.17046122624
"12",83.9353673958389,28.0338697860187,263.4943088752
"13",83.7810219664888,27.9424834959473,402.025182161922
"14",83.4867943512693,27.9701076563354,185.709581545559
"15",83.8237271516696,28.1994822692487,31.8217479929225
"16",83.7998361209858,27.9538847327383,580.594199851718
"17",83.7828470997052,28.1765801177237,229.859280356913
"18",83.838283104108,28.0649654696036,1484.16286712842
"19",83.9792330477972,28.0348812718114,1090.17451235302
"20",83.9549561404413,27.9605622743899,1672.76499769915
"21",83.700346636675,28.0275005743918,770.897363234773
"22",83.8512963885682,27.9616971853453,629.913203224797
"23",83.7713001590825,27.9839695130234,1490.59131010487
"24",83.8117334979191,28.0840960921023,973.951291952216
"25",83.9309295684353,27.9321092015362,600.486686408727
"26",83.9804043760573,28.0084164258799,214.250662899722
"27",83.4771067010131,27.95215048804,870.102598251061
"28",83.7756226410346,27.9759685168038,913.317368399564
"29",83.9837339505594,28.0003893235128,958.655145469726
"30",83.8546265789787,27.8769190995353,1137.35189813643
"31",83.7645879913879,28.1104825206309,274.965308472347
"32",83.8108630172138,27.9465621524189,925.473592248677
"33",83.7464953884644,28.0874841983775,372.5054412731
"34",83.8372122480072,27.9222801759641,4.69524934540108
"35",83.9580877844424,27.9526815440018,697.167849726791
"36",83.6954716204022,27.9756448751365,1236.55322116435
"37",83.9296434421518,27.9052108588614,619.273532891854
"38",84.5812613066958,28.5968412990132,3633.34920296038
"39",84.4979857753615,28.0625381857345,8349.34026033242
"40",85.1072131775626,28.6417902264433,3319.52743208528
"41",85.1214469031891,28.4913598920591,1456.16025317472
"42",84.8845869387091,28.4561177350929,6288.03818780277
"43",84.6683794985678,27.831871172859,5291.55415716316
"44",85.0552892435495,28.614243540007,7380.3634067619
"45",84.577438355698,28.1090306094929,7738.62888271442
"46",85.1146104728293,28.5417511155465,7275.48507458247
"47",84.802750428288,28.1695784462329,1612.74738397162
"48",84.8155527172899,28.0720859672373,2608.43155281462
"49",84.7263287317375,27.8332303153269,7696.88420478726
"50",84.6373626644076,27.9275906590641,4354.49789204939
"51",84.6445351756815,28.1000315978275,8637.85684305487
"52",84.4435690697075,27.8505921054311,1937.80599430161
"53",84.3613939824692,27.8659258324758,491.439611326969
"54",84.0670778084059,27.9425846625061,939.948332355258
"55",84.2736287933598,27.9311653089501,2161.01191525248
"56",84.0592883746134,27.8772612012967,566.509689024651
"57",84.2959411413789,28.0798596710742,1587.00435977211
"58",84.2982970293327,27.9905319313436,1271.82822106476
"59",84.3423694883161,28.0288736905247,1796.11723281423
"60",84.5238927845771,27.853455187914,1382.71655203486
"61",84.0999987463661,27.9159456450691,1452.54157460557
"62",84.4292645336307,27.7679900855916,1989.00922418935
"63",84.1733330333764,27.856152901832,790.375401216286
"64",83.9897786386765,27.8963086646981,1794.40219074326
"65",84.1922704811758,27.8508522884167,1685.12731210201
"66",84.4562227918027,27.9444296763711,1135.81048901925
"67",84.3130847301663,27.851068136492,70.1484118946188
"68",84.2810279640624,28.0355064800363,437.587310786046
"69",84.4136771337116,27.7619893603691,2018.58122433375
"70",84.4223226939548,27.9254512923991,763.497114928569
"71",84.4080746310241,27.8338464518749,1792.60495588341
"72",84.3990963222066,27.8313766782597,427.893519222088
"73",84.327851445694,27.8509084164315,1776.092477218
"74",83.9849695370199,27.8815564816262,356.434265252535
"75",84.5438268102854,27.8394292831342,874.388637038843
"76",84.2158731022917,27.8978213664677,417.00871323481
"77",84.4046587237636,27.8032004742987,1853.9537787221
"78",84.3569321668362,28.0093236496568,794.801840750754
"79",84.4638140866393,28.0438015991856,605.293350774733
"80",84.2725033085912,27.8834718054331,1273.05742985331
"81",84.1763318898075,27.8833918041201,611.644129993029
"82",84.1026758178682,28.1071761101217,1364.93040285174
"83",84.3265303994605,28.1164732055009,1852.6571774417
"84",84.3152212811802,27.9264608128464,1413.84177167226
"85",84.1862352416318,28.026147043369,1407.64171909902
"86",84.2987747141503,27.9690251645402,1516.54315478212
"87",84.2205626981001,27.8806839651658,587.590732298647
"88",83.9664580441361,28.0797596487811,1627.14809045724
"89",84.0697848037807,27.9808495658715,752.925038598648
"90",84.4409268782902,28.0640225869971,1571.77915283895
"91",84.3855057046444,28.009655667153,935.414553098534
"92",84.3861017515133,28.0887015703202,1607.24654292688
"93",84.3663271660312,28.0085865848375,185.553821803851
"94",84.4285836870021,27.7977813502317,234.799094539372
"95",84.233350935321,28.1944333956083,234.271263096715
"96",84.244194195625,28.2987087455877,248.84741347696
"97",84.4367341224833,28.1831422534867,355.074602130615
"98",84.5770217684039,28.4572369068119,165.188117003299
"99",84.3949430439987,28.3925753393207,176.082260903348
"100",84.4810049051555,28.4219918996317,504.853680002708
"101",84.5754371811458,28.2136731349106,478.603617740547
"102",84.3853935481226,28.2563650841534,420.198308928548
"103",84.621899953961,28.2875837457312,424.636248712198
"104",84.263943807523,28.3264513497213,138.390642062179
"105",84.2368372186041,28.1232074899666,420.139549790882
